chargerId,locationId,connectorId,connectorNumber,connectorType
EH-US-CHG-0086,US*EHB*LOC*USA018,CON-US-0086,1,CCS-2
EH-US-CHG-0087,US*EHB*LOC*USA018,CON-US-0087,1,CCS-2
EH-US-CHG-0088,US*EHB*LOC*USA018,CON-US-0088,1,CCS-2
EH-US-CHG-0089,US*EHB*LOC*USA018,CON-US-0089,1,CCS-2
EH-US-CHG-0090,US*EHB*LOC*USA018,CON-US-0090,1,CCS-2
EH-US-CHG-0091,US*EHB*LOC*USA019,CON-US-0091,1,CCS-2
EH-US-CHG-0092,US*EHB*LOC*USA019,CON-US-0092,1,CCS-2
EH-US-CHG-0093,US*EHB*LOC*USA019,CON-US-0093,1,CCS-2
EH-US-CHG-0094,US*EHB*LOC*USA019,CON-US-0094,1,CCS-2
EH-US-CHG-0095,US*EHB*LOC*USA019,CON-US-0095,1,CCS-2
EH-US-CHG-0096,US*EHB*LOC*USA020,CON-US-0096,1,CCS-2
EH-US-CHG-0097,US*EHB*LOC*USA020,CON-US-0097,1,CCS-2
EH-US-CHG-0098,US*EHB*LOC*USA020,CON-US-0098,1,CCS-2
EH-US-CHG-0099,US*EHB*LOC*USA020,CON-US-0099,1,CCS-2
EH-US-CHG-0100,US*EHB*LOC*USA020,CON-US-0100,1,CCS-2
